id,Consent_000_RAW,Consent_001_RAW,CRS_01_RAW,CRS_02_RAW,CRS_03_RAW,CRS_04_RAW,CRS_05_RAW,CRS_06_RAW,CRS_07_RAW,CRS_08_RAW,CRS_09_RAW,CRS_10_RAW,CRS_11_RAW,CRS_12_RAW,CRS_13_RAW,CRS_14_RAW,CRS_15_RAW,CRS_16_RAW,CRS_17_RAW,CRS_18_RAW,CRS_19_RAW,CRS_20_RAW,Goodbye_001_RAW,MDDF_01_RAW,MDDF_02_RAW,MDDF_03_RAW,MDDF_04_RAW,MDDF_05_RAW,MDDF_06_RAW,MDDF_07_RAW,MDDF_08_RAW,MDDF_09_RAW,MDDF_10_RAW,MDDF_11_RAW,MDDF_12_RAW,MDDF_13_RAW,MDDF_14_RAW,MDDF_15_RAW,MDDF_16_RAW,MDDF_17_RAW,MDDF_18_RAW,MDDF_19_RAW,MDDF_20_RAW,MDDF_21_RAW,MDDF_22_RAW,MDDF_23_RAW,MDDF_24_RAW,MDDF_25_RAW,MDDF_26_RAW,MDDF_27_RAW,MDDF_28_RAW,MDDF_29_RAW,MDDF_30_RAW,MDDF_31_RAW,MDDF_32_RAW,MDDF_33_RAW,MDDF_34_RAW,MDDF_35_RAW,MDDF_36_RAW,MDDF_37_RAW,MDDF_38_RAW,MDDF_39_RAW,MDDF_40_RAW,MDDF_41_RAW,MDDF_42_RAW,MDDF_43_RAW,MDDF_44_RAW,MDDF_45_RAW,MDDF_46_RAW,MDDF_47_RAW,MDDF_48_RAW,MDDF_49_RAW,MDDF_50_RAW,MDDF_51_RAW,MDDF_52_RAW,MDDF_53_RAW,MDDF_54_RAW,MDDF_55_RAW,MDDF_56_RAW,MDDF_57_RAW,MDDF_58_RAW,MDDF_59_RAW,MDDF_60_RAW,MDDF_61_RAW,MDDF_62_RAW,MDDF_63_RAW
36,"",acepto participar,Ocasionalmente,Demasiado,Rara vez,Ocasionalmente,Ocasionalmente,Muy a menudo,Muy a menudo,Demasiado,Demasiado,Un poco,Nada,Mucho,Ocasionalmente,Ocasionalmente,A menudo,Demasiado,Algo,Rara vez,Rara vez,A menudo,9ouhhs52w7xec2zalr4o,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Poco inadecuado,Si,5,Medianamente inadecuado,No,,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Medianamente adecuado,Si,4,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6
37,"",acepto participar,Nunca,Nada,Rara vez,Rara vez,Rara vez,A menudo,Ocasionalmente,Mucho,Nada,Demasiado,Demasiado,Un poco,Ocasionalmente,Rara vez,Ocasionalmente,Algo,Mucho,Ocasionalmente,Muy a menudo,Nunca,jllymrkbmn3oupv6sxkw,Medianamente adecuado,Si,1,Poco inadecuado,Si,5,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,
38,"",acepto participar,Muy a menudo,Un poco,Ocasionalmente,Ocasionalmente,Muy a menudo,Muy a menudo,Muy a menudo,Demasiado,Un poco,Nada,Mucho,Algo,Ocasionalmente,A menudo,Muy a menudo,Algo,Un poco,Rara vez,A menudo,Muy a menudo,gmvcnev1lxpk6h4rk84v,Altamente adecuado,Si,2,Poco inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,
39,"",acepto participar,Nunca,Un poco,Rara vez,Rara vez,A menudo,Ocasionalmente,A menudo,Nada,Demasiado,Demasiado,Un poco,Algo,Rara vez,Ocasionalmente,Ocasionalmente,Mucho,Algo,Muy a menudo,Nunca,Muy a menudo,0gbn1g49yqhdajdsv3mh,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,Si,3,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,Si,6,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,Si,6
4,"",acepto participar,Rara vez,Algo,Nunca,Muy a menudo,A menudo,Nunca,Ocasionalmente,Nada,Demasiado,Demasiado,Algo,Nada,Rara vez,A menudo,Rara vez,Algo,Algo,Muy a menudo,Rara vez,Ocasionalmente,o2vdnplbhrefm44zvpbc,Poco inadecuado,Si,5,Poco inadecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,Si,1,Altamente adecuado,No,,Poco inadecuado,Si,1,Sin opinion,Si,1,Poco inadecuado,Si,1,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,
40,"",acepto participar,Rara vez,Algo,Ocasionalmente,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Un poco,Nada,Mucho,Algo,Algo,A menudo,Muy a menudo,Ocasionalmente,Un poco,Un poco,A menudo,Muy a menudo,Muy a menudo,p2k1ddn88h1hv46a4jjl,Poco inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,
41,"",acepto participar,Rara vez,Un poco,Rara vez,A menudo,Ocasionalmente,A menudo,Nunca,Demasiado,Demasiado,Un poco,Algo,Un poco,Ocasionalmente,Ocasionalmente,A menudo,Algo,Demasiado,Nunca,Muy a menudo,A menudo,3bmedtacdtqb78lsrpop,Poco inadecuado,Si,5,Un poco adecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,
42,"",acepto participar,Ocasionalmente,Algo,Muy a menudo,Muy a menudo,Muy a menudo,Muy a menudo,Rara vez,Nada,Mucho,Algo,Algo,Mucho,Muy a menudo,Ocasionalmente,Rara vez,Un poco,Mucho,Muy a menudo,Muy a menudo,Ocasionalmente,rup7zshhwu1tcxp5e589,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Poco inadecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,
43,"",acepto participar,Rara vez,Un poco,A menudo,Ocasionalmente,A menudo,Nunca,Muy a menudo,Demasiado,Un poco,Algo,Un poco,Algo,Ocasionalmente,A menudo,Ocasionalmente,Demasiado,Nada,Muy a menudo,A menudo,Nunca,5qs2shn5lbl6nacwdy87,Poco inadecuado,Si,5,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente adecuado,Si,6,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,Si,6
44,"",acepto participar,Ocasionalmente,Demasiado,Muy a menudo,Muy a menudo,Muy a menudo,Rara vez,Nunca,Mucho,Algo,Algo,Mucho,Demasiado,Ocasionalmente,Rara vez,Rara vez,Mucho,Demasiado,Muy a menudo,Ocasionalmente,A menudo,umzyodzecpppq5cmadlv,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente adecuado,Si,6,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,Si,6
45,"",acepto participar,Rara vez,Mucho,Ocasionalmente,A menudo,Nunca,Muy a menudo,Muy a menudo,Un poco,Algo,Un poco,Algo,Algo,A menudo,Ocasionalmente,Muy a menudo,Nada,Demasiado,A menudo,Nunca,Nunca,oabcatsp7y63gopq6xc4,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Poco inadecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,
46,"",acepto participar,Muy a menudo,Demasiado,Muy a menudo,Muy a menudo,Rara vez,Nunca,A menudo,Algo,Algo,Mucho,Demasiado,Algo,Rara vez,Rara vez,A menudo,Demasiado,Demasiado,Ocasionalmente,A menudo,Ocasionalmente,7azht26lsssswtnxfed4,Medianamente inadecuado,Si,3,Un poco adecuado,Si,1,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,
47,"",acepto participar,A menudo,Algo,A menudo,Nunca,Muy a menudo,Muy a menudo,Rara vez,Algo,Un poco,Algo,Algo,Mucho,Ocasionalmente,Muy a menudo,Nunca,Demasiado,Mucho,Nunca,Nunca,Rara vez,ayz28wvk28lkuhtq47lq,Un poco adecuado,No,,Medianamente inadecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,Si,2,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,
48,"",acepto participar,Muy a menudo,Demasiado,Muy a menudo,Rara vez,Nunca,A menudo,Ocasionalmente,Algo,Mucho,Demasiado,Algo,Un poco,Rara vez,A menudo,Muy a menudo,Demasiado,Algo,A menudo,Ocasionalmente,A menudo,gm7hp7koq5r92y89jfzo,Altamente adecuado,No,,Un poco adecuado,Si,1,Poco inadecuado,Si,1,Muy inadecuado,No,,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Medianamente inadecuado,Si,2,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,Si,6,Un poco adecuado,No,,Medianamente adecuado,No,
49,"",acepto participar,Ocasionalmente,Mucho,Nunca,Muy a menudo,Muy a menudo,Rara vez,Ocasionalmente,Un poco,Algo,Algo,Mucho,Algo,Muy a menudo,Nunca,Muy a menudo,Mucho,Nada,Nunca,Rara vez,Rara vez,nk6rh54mlqhb96tk0fzs,Medianamente inadecuado,No,,Sin opinion,Si,2,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,Si,2,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,
5,"",acepto participar,A menudo,Un poco,A menudo,Nunca,A menudo,Nunca,Ocasionalmente,Algo,Demasiado,Mucho,Algo,Nada,Ocasionalmente,Muy a menudo,A menudo,Mucho,Nada,Nunca,Rara vez,Rara vez,hj00umtugeo0kal8ogjp,Medianamente adecuado,No,,Sin opinion,No,,Poco inadecuado,No,,Medianamente inadecuado,Si,1,Altamente adecuado,No,,Poco inadecuado,Si,1,Sin opinion,Si,1,Poco inadecuado,Si,1,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,
50,"",acepto participar,Muy a menudo,Demasiado,Rara vez,Nunca,A menudo,Ocasionalmente,Ocasionalmente,Mucho,Demasiado,Algo,Un poco,Un poco,A menudo,Muy a menudo,Muy a menudo,Algo,Mucho,Ocasionalmente,A menudo,Muy a menudo,xwny9f7d7d0cgjwbkls8,Poco inadecuado,Si,3,Un poco adecuado,Si,1,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Un poco adecuado,Si,1
51,"",acepto participar,A menudo,Nada,Muy a menudo,Muy a menudo,Rara vez,Ocasionalmente,Rara vez,Algo,Algo,Mucho,Algo,Demasiado,Nunca,Muy a menudo,A menudo,Nada,Nada,Rara vez,Rara vez,Rara vez,26weuh3b9kcjuav335sc,Medianamente inadecuado,No,,Muy inadecuado,No,,Un poco adecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,Si,2,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Medianamente inadecuado,Si,2,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,Si,6,Un poco adecuado,No,,Medianamente adecuado,No,
52,"",acepto participar,Muy a menudo,Un poco,Nunca,A menudo,Ocasionalmente,Ocasionalmente,A menudo,Demasiado,Algo,Un poco,Un poco,Mucho,Muy a menudo,Muy a menudo,Ocasionalmente,Mucho,Algo,A menudo,Muy a menudo,Ocasionalmente,rycoe1t8vrjlhnegcqha,Un poco adecuado,Si,1,Sin opinion,Si,4,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Medianamente inadecuado,No,,Un poco adecuado,Si,2,Muy inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,
53,"",acepto participar,Nunca,Demasiado,Muy a menudo,Rara vez,Ocasionalmente,Rara vez,Ocasionalmente,Algo,Mucho,Algo,Demasiado,Nada,Muy a menudo,A menudo,Nunca,Nada,Un poco,Rara vez,Rara vez,A menudo,rfw89dz5zxt91yqvyo9r,Sin opinion,Si,2,Altamente adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Medianamente inadecuado,No,,Un poco adecuado,Si,2,Muy inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,
54,"",acepto participar,Rara vez,Nada,A menudo,Ocasionalmente,Ocasionalmente,A menudo,Muy a menudo,Algo,Un poco,Un poco,Mucho,Demasiado,Muy a menudo,Ocasionalmente,A menudo,Algo,Mucho,Muy a menudo,Ocasionalmente,A menudo,lvqjnj4x6byzvuf2dqmf,Poco inadecuado,Si,1,Muy inadecuado,No,,Muy inadecuado,No,,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,No,,Medianamente adecuado,Si,4,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,Si,2,Muy inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Un poco adecuado,Si,1
55,"",acepto participar,Muy a menudo,Demasiado,Rara vez,Ocasionalmente,Rara vez,Ocasionalmente,Ocasionalmente,Mucho,Algo,Demasiado,Nada,Demasiado,A menudo,Nunca,Nunca,Un poco,Un poco,Rara vez,A menudo,Rara vez,7wffu2nhxcmg9g93y790,Muy inadecuado,No,,Altamente adecuado,No,,Muy inadecuado,No,,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,No,,Medianamente adecuado,Si,4,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,Si,2,Muy inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Un poco adecuado,Si,1
56,"",acepto participar,Nunca,Mucho,Ocasionalmente,Ocasionalmente,A menudo,Muy a menudo,Ocasionalmente,Un poco,Un poco,Mucho,Demasiado,Demasiado,Ocasionalmente,A menudo,Ocasionalmente,Mucho,Demasiado,Ocasionalmente,A menudo,Nunca,bugbwd2h8us0sqxox728,Un poco adecuado,Si,1,Altamente adecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Muy inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Un poco adecuado,Si,1
57,"",acepto participar,Muy a menudo,Un poco,Ocasionalmente,Rara vez,Ocasionalmente,Ocasionalmente,A menudo,Algo,Demasiado,Nada,Demasiado,Mucho,Nunca,Nunca,Rara vez,Un poco,Un poco,A menudo,Rara vez,A menudo,ary5rcy4556anu1f8krd,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,Si,6,Un poco adecuado,No,,Medianamente adecuado,No,,Poco inadecuado,Si,4
58,"",acepto participar,A menudo,Algo,Ocasionalmente,A menudo,Muy a menudo,Ocasionalmente,Rara vez,Un poco,Mucho,Demasiado,Demasiado,Algo,A menudo,Ocasionalmente,A menudo,Demasiado,Algo,A menudo,Nunca,A menudo,g7gouotzz344cy9bu7kt,Sin opinion,Si,4,Medianamente inadecuado,Si,6,Medianamente adecuado,No,,Medianamente adecuado,No,,Medianamente adecuado,Si,4,Poco inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Muy inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Un poco adecuado,Si,1,Poco inadecuado,No,
59,"",acepto participar,Rara vez,Algo,Rara vez,Ocasionalmente,Ocasionalmente,A menudo,Ocasionalmente,Demasiado,Nada,Demasiado,Mucho,Nada,Nunca,Rara vez,Rara vez,Un poco,Mucho,Rara vez,A menudo,Ocasionalmente,8tfm36bqo2frtsz5jfum,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,Si,6,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Medianamente adecuado,Si,4,Altamente adecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,Si,6,Medianamente adecuado,No,,Altamente adecuado,Si,6,Medianamente adecuado,Si,6,Un poco adecuado,No,,Medianamente adecuado,No,,Poco inadecuado,Si,4,Muy inadecuado,No,
6,"",acepto participar,Ocasionalmente,Nada,Muy a menudo,A menudo,Nunca,Ocasionalmente,Nunca,Demasiado,Demasiado,Algo,Nada,Un poco,A menudo,Rara vez,Ocasionalmente,Algo,Demasiado,Rara vez,Ocasionalmente,Ocasionalmente,u23vwlftbeue9l0gq99b,Muy inadecuado,Si,3,Poco inadecuado,No,,Poco inadecuado,No,,Muy inadecuado,Si,7,Medianamente inadecuado,Si,3,Poco inadecuado,No,,Altamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,5,Medianamente inadecuado,No,,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,
60,"",acepto participar,Ocasionalmente,Algo,A menudo,Muy a menudo,Ocasionalmente,Rara vez,Rara vez,Mucho,Demasiado,Demasiado,Algo,Mucho,Ocasionalmente,A menudo,Muy a menudo,Algo,Mucho,Nunca,A menudo,Ocasionalmente,ba0pd5bjm0wrwqzjuycp,Muy inadecuado,No,,Medianamente inadecuado,Si,6,Medianamente inadecuado,No,,Poco inadecuado,No,,Medianamente adecuado,No,,Un poco adecuado,No,,Altamente adecuado,No,,Poco inadecuado,Si,1,Altamente adecuado,No,,Medianamente inadecuado,Si,7,Medianamente inadecuado,Si,6,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Muy inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Un poco adecuado,Si,1,Poco inadecuado,No,
7,"",acepto participar,Rara vez,Mucho,Nunca,A menudo,Nunca,Ocasionalmente,Ocasionalmente,Demasiado,Mucho,Algo,Nada,Algo,Muy a menudo,A menudo,A menudo,Nada,Nada,Rara vez,Rara vez,Rara vez,7jqdo2yb1lhd2nat5sjc,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Altamente adecuado,No,,Un poco adecuado,No,,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Poco inadecuado,Si,5,Medianamente inadecuado,No,,Sin opinion,Si,2,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,
8,"",acepto participar,Nunca,Demasiado,A menudo,Nunca,Ocasionalmente,Nunca,Muy a menudo,Demasiado,Algo,Nada,Un poco,Mucho,Rara vez,Ocasionalmente,Ocasionalmente,Demasiado,Un poco,Ocasionalmente,Ocasionalmente,Muy a menudo,sh09phd2pw2k2po0uz6m,Un poco adecuado,Si,3,Medianamente inadecuado,Si,1,Poco inadecuado,Si,2,Medianamente adecuado,No,,Altamente adecuado,Si,6,Un poco adecuado,No,,Muy inadecuado,No,,Poco inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,Si,3,Medianamente inadecuado,Si,2,Altamente adecuado,No,,Un poco adecuado,Si,1,Sin opinion,Si,4,Un poco adecuado,No,,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,
9,"",acepto participar,A menudo,Nada,A menudo,Nunca,Ocasionalmente,Ocasionalmente,Muy a menudo,Mucho,Algo,Nada,Algo,Demasiado,A menudo,A menudo,Nunca,Nada,Un poco,Rara vez,Rara vez,A menudo,7tp4ymabmd7e838f8sfq,Sin opinion,No,,Altamente adecuado,No,,Medianamente inadecuado,Si,1,Altamente adecuado,No,,Poco inadecuado,Si,1,Sin opinion,Si,1,Un poco adecuado,Si,3,Medianamente adecuado,Si,2,Muy inadecuado,No,,Poco inadecuado,Si,3,Un poco adecuado,Si,4,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Un poco adecuado,No,,Medianamente inadecuado,No,,Muy inadecuado,No,,Altamente adecuado,No,,Poco inadecuado,No,,Medianamente inadecuado,No,,Medianamente inadecuado,No,
